User,CPU_Time(Hours),GPU_Time(Hours)
abdellatif.mouhssine,0,0
abderrahman.skiredj,958.282,788.256
abir.ziyad,0,0
asibari,0,0
drahmoune,0,0
hasdyani,0,0
kablan.ebah,0,0
marouane.jaroud,0,0
mohamed.lachgar,0,0
najat.ajebbar,16.3978,0
ziyad.mouddan,0,0
ahmed.lahlou,3.64472,0.255
ali.rachiq,2953.86,3182.78
brahim.moknassi,1.00694,1.00694
chaimae.belemoualem,0,0
elghali.benjelloun,33.7325,0.0319444
htagemouati,0,0
ibrahim.aboubaker,0.228333,0.228333
mlechiakh,0,0
mohieddine.farid,0,0
yassine.bouslihim,0,0
yassine.jerroudi,207.922,0
yassine.soumbati,0,0
youssef.osghir,0,0
ziad.ouldbouya,0,0
zmoutaouakkil,0,0
abdellah.elazraoui,0,0
abdelqoddous.moussa,0,0
abderrahmane.boudribila,11365.4,1346.17
abenlaidi,0,0
genereux.akotenou,4816.75,67.765
houssam.zouhri,0,0
ibrahim.lahlou,2443.74,1601.83
ilyass.elarkoubi,0,0
lahcen.laayouni,0,0
mouad.aterhi,0,0
nora.hssaine,0,0
nour.alem,0,0
youssef.hmamouche,0,0
zaineb.afkhkhar,0,0
aalahyane,0,0
abbouayad,0,0
aziz.moumou,0,0
loubna.ahsaini,0,0
majid.elkassaoui,0,0
user09,0,0
arinze.ezirim,0,0
bassou,0,0
habib.toessi,0,0
khardjal,0,0
marouane.elmoutaki,160.716,88.3344
nasir.boubekraoui,0,0
rmahjoubi,0,0
salima.eddoukss,735.771,4159.34
user08,0,0
youness.ouassanouan,0,0
alaamrani,0,0
elhoucine.bergou,0,0
fadoua.aitayane,0,0
ghizlane.ezzobayr,0,0
hmida.slimani,0,0
ismail.chihab,0,0
ismail.filahi,0,0
kessefar,0,0
mouad.elalj,0,0
olivier.djara,801.433,0
oumaima.kouhail,65.9333,0.952778
ridwan.gbadamosi,0,0
salim.elmejjad,0,0
sboughou,5632.65,0
youness.zaarour,0,0
abir.harrasse,0,0
amine.andam,928.559,3282.68
issam.aityahia,129.353,129.353
abdelkrim.alahyane,2608.07,1409.73
abdoulaziz.laouali,0,0
amhamadi,0,0
anasgh,0,0
bernardin.ligan,0,0
dahhane.younes,0,0
hamzamrt,0,0
hicham.hboub,0,0
ikchairi,0,0
youssef.iraqi,0,0
boumelha,0,0
brahim.elallaoui,0,0
elmahdi.elkhalki,0,0
hamza.alami,0,0
ikram.benfellah,47.1731,4.46
ilyas.boudhaine,0,0
khouloud,13.8167,0
moujbene,0,0
saloua,0,0
samia.rochdane,0,0
youssef.daafi,0,0
youssef.derrazi,0,0
abdelali.boukachabine,0,0
ahanga,0,0
bara.diop,514.969,4.50306
fahdilou.yendou,0,0
mdaghzal,0,0
mohamed.ghassan,0,0
naima.elbouaelamy,550.532,197.449
oussama.rigat,974.762,735.416
soumia.boucherouite,0,0
tamraoui,0,0
test1.test1,0,0
youness.anouar,12.375,4.31417
anass.kemmoune,0,0
aymen.qabel,0,0
driss.elayoubi,0,0
fatima-zahra.ahssous,0,0
hamza.bouhani,0,0
hamza.boulouz,186.48,0
majdouline.akkari,0,0
mohamed.chafiq,0,0
abdelhak.elmansour,0,0
aelmousaoui,0,0
amavi.dossa,0,0
badr-eddine.semlali,0,0
fahd.kalloubi,528.811,2795.73
houssam.bouchouk,3.24917,3.24917
imane.akdim,2.96389,2.96361
mjlibene,0,0
mouad.guedad,0,0
mounia.baddou,9.16389,1.93139
user01,9.8425,57.7106
wissal.liman,0,0
zakaria.alouani,0,0
anouar.belhboub,0,0
conite.gbodogbe,3646.4,383.759
hajar.belmoudden,0,0
hamza.kamil,1567.13,696.659
imoutaouakkil,0,0
kawtar.labzae,12.2753,4.16111
kboubouh,0,0
lousalhi,0,0
mohammadnoor.alam,0,0
oumaima.bakhatar,2115.39,1152.17
rachida.lamouri,0,0
yassine.aitlahcen,0,0
abdelkhalek.baroudi,0,0
ahmoudaa,0,0
compaore.sougrinoma,652.855,5.51417
hicham.atmani,0,0
iberrada,0,0
oscar.hountondji,0,0
reda.atmani,0,0
sami.agourram,0,0
smail.yassine,0,0
user03,0,0
usman.zia,0,0
khalid.barkouki,0,0
loay.chlih,9.87222,0
mohamed.bourich,87.1428,79.3594
olamrani,0,0
ouardghi,0,0
tariq.daouda,0,0
user02,2.2475,0
aasfar,0,0
abdelkarim.belasri,0,0
basma,0,0
elmehdi.boujou,0,0
hussain.zakir,3.06,0
ilham.aarab,0,0
moussa,0,0
naima.otberdout,0,0
ouhendor,0,0
romeo.ewinsou,0,0
sana.maghraoui,557.433,576.136
